age,sex,income_family,province,education,religious,marital_status,language_knowledge,employed,votechoice,vote_liberal
26,Male,"$50,000 to $74,999",Nova Scotia,Bachelor's degree,Yes,Has a partner,English only,Yes,ndp,0
51,Female,"$75,000 to $99,999",Quebec,Above bachelor,Yes,Single,French only,Yes,Bloc Québécois,0
54,Male,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Single,Both English and French,No,Conservative Party,0
24,Female,"$50,000 to $74,999",Alberta,Bachelor's degree,Yes,Has a partner,English only,Yes,ndp,0
41,Female,"$125,000 and more",Quebec,Bachelor's degree,Yes,Single,Neither English nor French,Yes,Conservative Party,0
75,Male,"$25,000 to $49,999",British Columbia,Bachelor's degree,Yes,Single,English only,No,Liberal Party,1
74,Male,"$125,000 and more",Nova Scotia,Above bachelor,Yes,Has a partner,English only,No,Don't know/ Prefer not to answer,0
67,Female,"$75,000 to $99,999",Alberta,College or certificate,Yes,Has a partner,Both English and French,No,Conservative Party,0
43,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
49,Female,"$100,000 to $ 124,999",British Columbia,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
62,Female,"Less than $25,000",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
48,Female,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
33,Female,"$100,000 to $ 124,999",Newfoundland and Labrador,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
41,Female,"Less than $25,000",Ontario,College or certificate,Yes,Has a partner,Both English and French,No,Don't know/ Prefer not to answer,0
28,Female,"$50,000 to $74,999",Newfoundland and Labrador,Less than high school,Yes,Has a partner,English only,Yes,Green Party,0
44,Female,"Less than $25,000",Ontario,High school diploma,No,Single,English only,No,ndp,0
68,Male,"$50,000 to $74,999",New Brunswick,Bachelor's degree,Yes,Single,French only,No,Liberal Party,1
62,Male,"$100,000 to $ 124,999",Quebec,Above bachelor,Yes,Has a partner,French only,No,Don't know/ Prefer not to answer,0
67,Female,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
53,Female,"$25,000 to $49,999",Quebec,College or certificate,Yes,Single,French only,Yes,People's Party,0
50,Male,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Has a partner,Both English and French,Yes,Conservative Party,0
57,Male,"$50,000 to $74,999",British Columbia,High school diploma,Yes,Has a partner,English only,No,Liberal Party,1
85,Female,"Less than $25,000",Ontario,Bachelor's degree,Yes,Single,English only,No,Conservative Party,0
34,Female,"Less than $25,000",Ontario,Less than high school,Yes,Has a partner,English only,No,ndp,0
49,Female,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,ndp,0
35,Male,"$25,000 to $49,999",Quebec,Bachelor's degree,Yes,Single,English only,Yes,Liberal Party,1
69,Male,"$25,000 to $49,999",British Columbia,Bachelor's degree,Yes,Has a partner,English only,No,Liberal Party,1
44,Female,"$100,000 to $ 124,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Liberal Party,1
53,Male,"$75,000 to $99,999",Ontario,High school diploma,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
77,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,No,Liberal Party,1
57,Male,"$125,000 and more",Saskatchewan,Above bachelor,Yes,Has a partner,Neither English nor French,Yes,Conservative Party,0
37,Female,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,English only,No,ndp,0
61,Female,"$125,000 and more",British Columbia,Above bachelor,Yes,Has a partner,English only,Yes,ndp,0
29,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Liberal Party,1
39,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes,Liberal Party,1
71,Male,"Less than $25,000",Quebec,Bachelor's degree,Yes,Single,Neither English nor French,No,Liberal Party,1
45,Female,"$100,000 to $ 124,999",Ontario,Bachelor's degree,Yes,Has a partner,French only,Yes,Green Party,0
51,Female,"$50,000 to $74,999",Ontario,Less than high school,Yes,Single,Both English and French,Yes,ndp,0
67,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,No,Liberal Party,1
65,Male,"$25,000 to $49,999",Ontario,Less than high school,Yes,Single,English only,No,Conservative Party,0
58,Male,"$50,000 to $74,999",Quebec,College or certificate,Yes,Single,French only,Yes,Liberal Party,1
51,Female,"$125,000 and more",Quebec,Bachelor's degree,Yes,Single,French only,Yes,ndp,0
35,Female,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Don't know/ Prefer not to answer,0
64,Female,"$50,000 to $74,999",Manitoba,High school diploma,Yes,Has a partner,English only,No,Liberal Party,1
66,Male,"$75,000 to $99,999",Quebec,College or certificate,Yes,Has a partner,French only,No,Bloc Québécois,0
39,Male,"$25,000 to $49,999",Quebec,Bachelor's degree,Yes,Single,Both English and French,No,ndp,0
57,Male,"$25,000 to $49,999",Ontario,High school diploma,Yes,Single,English only,Yes,Conservative Party,0
43,Female,"$125,000 and more",Ontario,High school diploma,Yes,Has a partner,Both English and French,Yes,Don't know/ Prefer not to answer,0
35,Male,"$75,000 to $99,999",Quebec,Above bachelor,Yes,Has a partner,Both English and French,Yes,Green Party,0
57,Female,"$50,000 to $74,999",Quebec,Above bachelor,Yes,Single,French only,Yes,Don't know/ Prefer not to answer,0
65,Male,"$50,000 to $74,999",British Columbia,College or certificate,Yes,Has a partner,English only,No,People's Party,0
54,Male,"$75,000 to $99,999",Quebec,Above bachelor,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
36,Female,"Less than $25,000",Quebec,College or certificate,Yes,Single,French only,No,Don't know/ Prefer not to answer,0
69,Male,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
39,Male,"$50,000 to $74,999",British Columbia,High school diploma,Yes,Has a partner,Neither English nor French,No,Conservative Party,0
51,Female,"$125,000 and more",Quebec,College or certificate,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
33,Female,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
42,Female,"$50,000 to $74,999",Manitoba,Bachelor's degree,Yes,Single,English only,Yes,Don't know/ Prefer not to answer,0
39,Female,"$125,000 and more",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Don't know/ Prefer not to answer,0
39,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Liberal Party,1
55,Female,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
65,Female,"$50,000 to $74,999",Manitoba,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
56,Male,"$125,000 and more",Saskatchewan,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
72,Male,"$25,000 to $49,999",Ontario,Bachelor's degree,Yes,Has a partner,Neither English nor French,No,ndp,0
56,Male,"$125,000 and more",Alberta,College or certificate,Yes,Has a partner,English only,Yes,ndp,0
68,Male,"$75,000 to $99,999",Quebec,Bachelor's degree,Yes,Has a partner,French only,No,Don't know/ Prefer not to answer,0
60,Male,"$50,000 to $74,999",Quebec,Bachelor's degree,Yes,Single,French only,No,ndp,0
67,Female,"Less than $25,000",Quebec,College or certificate,Yes,Has a partner,French only,No,Liberal Party,1
63,Male,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
26,Female,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
56,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Conservative Party,0
38,Male,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Liberal Party,1
50,Female,"$50,000 to $74,999",Nova Scotia,High school diploma,Yes,Has a partner,English only,Yes,Liberal Party,1
60,Male,"$75,000 to $99,999",Manitoba,Bachelor's degree,Yes,Has a partner,English only,No,Liberal Party,1
65,Male,"$25,000 to $49,999",Quebec,College or certificate,Yes,Single,Both English and French,No,Liberal Party,1
72,Male,"$100,000 to $ 124,999",Ontario,Bachelor's degree,No,Has a partner,English only,Yes,Conservative Party,0
40,Female,"$100,000 to $ 124,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
51,Male,"$125,000 and more",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Green Party,0
34,Male,"$100,000 to $ 124,999",Quebec,Above bachelor,Yes,Has a partner,English only,Yes,Liberal Party,1
78,Male,"$50,000 to $74,999",Ontario,Less than high school,Yes,Has a partner,English only,No,Liberal Party,1
27,Female,"$50,000 to $74,999",Quebec,High school diploma,Yes,Has a partner,French only,Yes,Liberal Party,1
71,Male,"$75,000 to $99,999",Ontario,Above bachelor,Yes,Has a partner,English only,No,Liberal Party,1
58,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Single,English only,Yes,Don't know/ Prefer not to answer,0
63,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,No,Conservative Party,0
71,Female,"Less than $25,000",Quebec,Less than high school,Yes,Has a partner,French only,No,Conservative Party,0
38,Male,"Less than $25,000",Ontario,College or certificate,Yes,Single,English only,Yes,Liberal Party,1
37,Male,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
68,Female,"$25,000 to $49,999",Ontario,High school diploma,Yes,Has a partner,English only,No,Liberal Party,1
19,Female,"$50,000 to $74,999",Ontario,High school diploma,Yes,Single,English only,No,Liberal Party,1
31,Female,"$75,000 to $99,999",Alberta,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
58,Female,"$50,000 to $74,999",Saskatchewan,Bachelor's degree,Yes,Single,English only,Yes,Conservative Party,0
46,Male,"$125,000 and more",Saskatchewan,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
77,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
35,Male,"$125,000 and more",Ontario,Bachelor's degree,Yes,Single,English only,Yes,Green Party,0
40,Female,"$25,000 to $49,999",Quebec,High school diploma,Yes,Has a partner,French only,Yes,Don't know/ Prefer not to answer,0
38,Female,"$75,000 to $99,999",Alberta,College or certificate,Yes,Single,English only,Yes,Liberal Party,1
32,Male,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
63,Male,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Conservative Party,0
58,Female,"$75,000 to $99,999",Alberta,College or certificate,Yes,Single,English only,No,Conservative Party,0
31,Female,"$100,000 to $ 124,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Liberal Party,1
39,Female,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,Both English and French,Yes,ndp,0
40,Male,"$125,000 and more",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Liberal Party,1
55,Male,"$125,000 and more",Saskatchewan,High school diploma,Yes,Has a partner,English only,Yes,ndp,0
65,Female,"Less than $25,000",Quebec,College or certificate,Yes,Has a partner,Both English and French,No,Don't know/ Prefer not to answer,0
28,Female,"$75,000 to $99,999",Ontario,College or certificate,No,Has a partner,English only,No,ndp,0
42,Male,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
79,Male,"$125,000 and more",Quebec,Above bachelor,Yes,Has a partner,Both English and French,No,Liberal Party,1
35,Female,"$100,000 to $ 124,999",Quebec,Bachelor's degree,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
24,Female,"$75,000 to $99,999",Quebec,College or certificate,Yes,Single,Both English and French,Yes,Conservative Party,0
54,Male,"$125,000 and more",Quebec,High school diploma,Yes,Has a partner,French only,No,Liberal Party,1
99,Female,"$50,000 to $74,999",Quebec,Bachelor's degree,Yes,Has a partner,Both English and French,Yes,Green Party,0
37,Male,"$50,000 to $74,999",Ontario,High school diploma,Yes,Single,English only,Yes,Don't know/ Prefer not to answer,0
72,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,French only,No,Conservative Party,0
33,Female,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes,Conservative Party,0
64,Female,"$125,000 and more",British Columbia,Bachelor's degree,Yes,Single,English only,Yes,Conservative Party,0
37,Female,"$75,000 to $99,999",Ontario,College or certificate,Yes,Single,English only,Yes,Green Party,0
58,Male,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,French only,No,ndp,0
73,Male,"$75,000 to $99,999",Alberta,College or certificate,Yes,Has a partner,English only,No,Liberal Party,1
29,Female,"$25,000 to $49,999",Quebec,Bachelor's degree,Yes,Single,Both English and French,Yes,Conservative Party,0
40,Female,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
57,Male,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
54,Female,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Don't know/ Prefer not to answer,0
53,Female,"$50,000 to $74,999",British Columbia,Bachelor's degree,Yes,Single,English only,Yes,Liberal Party,1
68,Male,"$100,000 to $ 124,999",Quebec,Bachelor's degree,Yes,Has a partner,French only,Yes,Bloc Québécois,0
44,Female,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,No,ndp,0
43,Male,"$50,000 to $74,999",Manitoba,High school diploma,Yes,Single,English only,Yes,Green Party,0
74,Male,"$25,000 to $49,999",Ontario,High school diploma,Yes,Has a partner,English only,No,Liberal Party,1
32,Female,"$50,000 to $74,999",Ontario,College or certificate,Yes,Single,English only,Yes,Conservative Party,0
30,Male,"$75,000 to $99,999",British Columbia,Less than high school,Yes,Has a partner,English only,Yes,ndp,0
47,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,People's Party,0
69,Female,"Less than $25,000",Ontario,Less than high school,Yes,Single,English only,No,ndp,0
49,Male,"$25,000 to $49,999",Ontario,High school diploma,Yes,Has a partner,English only,Yes,Liberal Party,1
75,Male,"$75,000 to $99,999",Ontario,Above bachelor,Yes,Has a partner,English only,No,Conservative Party,0
54,Female,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
60,Female,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
60,Female,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes,Conservative Party,0
26,Female,"$75,000 to $99,999",Alberta,College or certificate,Yes,Single,English only,Yes,Green Party,0
68,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Liberal Party,1
64,Male,"$75,000 to $99,999",Alberta,High school diploma,Yes,Has a partner,English only,No,Conservative Party,0
24,Male,"$50,000 to $74,999",Alberta,Less than high school,Yes,Has a partner,English only,No,Liberal Party,1
43,Female,"$50,000 to $74,999",Quebec,Above bachelor,Yes,Has a partner,Neither English nor French,No,Green Party,0
23,Male,"$25,000 to $49,999",Quebec,High school diploma,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
19,Female,"$75,000 to $99,999",Ontario,Less than high school,Yes,Single,English only,No,ndp,0
41,Female,"$125,000 and more",Alberta,College or certificate,Yes,Has a partner,English only,Yes,Green Party,0
30,Female,"$25,000 to $49,999",Ontario,Above bachelor,Yes,Single,Both English and French,Yes,ndp,0
71,Male,"$75,000 to $99,999",Alberta,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
28,Female,"Less than $25,000",Quebec,Less than high school,No,Single,Both English and French,Yes,Bloc Québécois,0
56,Male,"$50,000 to $74,999",Quebec,High school diploma,Yes,Single,French only,Yes,Liberal Party,1
34,Female,"$125,000 and more",Alberta,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
67,Female,"$75,000 to $99,999",Quebec,High school diploma,Yes,Has a partner,Both English and French,No,Liberal Party,1
61,Female,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
35,Female,"$75,000 to $99,999",Ontario,High school diploma,Yes,Has a partner,English only,No,Green Party,0
20,Female,"Less than $25,000",Ontario,College or certificate,Yes,Has a partner,English only,No,ndp,0
91,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
37,Female,"$75,000 to $99,999",Alberta,Bachelor's degree,Yes,Single,English only,Yes,ndp,0
33,Female,"$50,000 to $74,999",Manitoba,College or certificate,Yes,Single,English only,Yes,Conservative Party,0
34,Female,"$125,000 and more",Quebec,College or certificate,Yes,Has a partner,Both English and French,No,Conservative Party,0
65,Male,"$100,000 to $ 124,999",British Columbia,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
59,Female,"$50,000 to $74,999",Manitoba,Above bachelor,Yes,Single,English only,Yes,Don't know/ Prefer not to answer,0
39,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Single,French only,Yes,Liberal Party,1
34,Female,"$50,000 to $74,999",Ontario,Above bachelor,Yes,Single,English only,Yes,Don't know/ Prefer not to answer,0
35,Female,"Less than $25,000",Quebec,College or certificate,Yes,Single,French only,Yes,ndp,0
24,Female,"$50,000 to $74,999",British Columbia,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
25,Male,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,Both English and French,No,Green Party,0
41,Female,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Conservative Party,0
37,Female,"$100,000 to $ 124,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
35,Male,"$75,000 to $99,999",Quebec,Above bachelor,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
68,Male,"$100,000 to $ 124,999",Saskatchewan,Less than high school,Yes,Single,English only,No,Conservative Party,0
23,Male,"$50,000 to $74,999",Manitoba,College or certificate,Yes,Single,Neither English nor French,No,Conservative Party,0
60,Male,"$100,000 to $ 124,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Bloc Québécois,0
47,Female,"$50,000 to $74,999",British Columbia,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
27,Female,"$50,000 to $74,999",Ontario,High school diploma,Yes,Has a partner,English only,No,Liberal Party,1
23,Female,"$25,000 to $49,999",Ontario,Bachelor's degree,Yes,Has a partner,Neither English nor French,No,Liberal Party,1
59,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes,Liberal Party,1
60,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Liberal Party,1
56,Female,"$50,000 to $74,999",British Columbia,High school diploma,Yes,Has a partner,English only,Yes,Conservative Party,0
62,Female,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,Both English and French,No,Liberal Party,1
68,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
71,Female,"$100,000 to $ 124,999",Quebec,Bachelor's degree,Yes,Single,English only,No,Liberal Party,1
44,Female,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,Neither English nor French,Yes,Don't know/ Prefer not to answer,0
36,Female,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
35,Female,"$25,000 to $49,999",Quebec,Above bachelor,Yes,Single,French only,Yes,Don't know/ Prefer not to answer,0
53,Female,"$100,000 to $ 124,999",Saskatchewan,High school diploma,Yes,Has a partner,English only,Yes,Conservative Party,0
44,Male,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
66,Male,"$75,000 to $99,999",British Columbia,College or certificate,Yes,Has a partner,English only,No,Green Party,0
51,Female,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Single,Both English and French,Yes,Don't know/ Prefer not to answer,0
29,Female,"$25,000 to $49,999",Saskatchewan,Less than high school,Yes,Single,English only,No,ndp,0
76,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
55,Male,"$125,000 and more",Ontario,Above bachelor,Yes,Single,Both English and French,Yes,Green Party,0
66,Male,"Less than $25,000",Ontario,College or certificate,Yes,Has a partner,English only,No,ndp,0
27,Male,"$125,000 and more",British Columbia,Above bachelor,Yes,Has a partner,Both English and French,Yes,Conservative Party,0
45,Female,"$50,000 to $74,999",Alberta,College or certificate,Yes,Has a partner,English only,No,Don't know/ Prefer not to answer,0
71,Female,"Less than $25,000",Quebec,Bachelor's degree,Yes,Single,French only,No,Don't know/ Prefer not to answer,0
59,Female,"$75,000 to $99,999",Alberta,Bachelor's degree,Yes,Has a partner,English only,No,Don't know/ Prefer not to answer,0
43,Male,"Less than $25,000",Quebec,College or certificate,Yes,Single,English only,No,Another party (please specify),0
38,Female,"$100,000 to $ 124,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Don't know/ Prefer not to answer,0
30,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,ndp,0
30,Female,"$75,000 to $99,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Don't know/ Prefer not to answer,0
26,Male,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
66,Female,"$75,000 to $99,999",Quebec,Above bachelor,Yes,Has a partner,French only,No,Liberal Party,1
61,Female,"$50,000 to $74,999",British Columbia,College or certificate,Yes,Single,English only,No,Liberal Party,1
60,Male,"$75,000 to $99,999",Ontario,High school diploma,Yes,Has a partner,English only,Yes,ndp,0
37,Female,"$75,000 to $99,999",Quebec,College or certificate,Yes,Has a partner,Both English and French,No,Don't know/ Prefer not to answer,0
30,Male,"$75,000 to $99,999",Manitoba,College or certificate,Yes,Has a partner,English only,Yes,Green Party,0
73,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,Neither English nor French,No,Conservative Party,0
34,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Conservative Party,0
62,Female,"$75,000 to $99,999",British Columbia,College or certificate,Yes,Has a partner,English only,Yes,Green Party,0
71,Male,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
42,Male,"$125,000 and more",Alberta,Bachelor's degree,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
29,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Liberal Party,1
65,Male,"$100,000 to $ 124,999",British Columbia,College or certificate,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
49,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Single,English only,Yes,Conservative Party,0
45,Female,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,Neither English nor French,No,Conservative Party,0
68,Male,"$25,000 to $49,999",British Columbia,College or certificate,Yes,Has a partner,English only,No,ndp,0
70,Male,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Green Party,0
19,Male,"$50,000 to $74,999",Quebec,Less than high school,Yes,Has a partner,Both English and French,Yes,ndp,0
64,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
62,Male,"$100,000 to $ 124,999",Alberta,Bachelor's degree,Yes,Has a partner,English only,No,Conservative Party,0
57,Female,"$75,000 to $99,999",Ontario,College or certificate,No,Has a partner,English only,Yes,Liberal Party,1
74,Female,"$25,000 to $49,999",British Columbia,College or certificate,Yes,Single,English only,No,Liberal Party,1
42,Female,"$125,000 and more",Manitoba,College or certificate,Yes,Single,English only,Yes,Liberal Party,1
58,Female,"$125,000 and more",British Columbia,Bachelor's degree,Yes,Has a partner,Both English and French,Yes,Conservative Party,0
78,Male,"$125,000 and more",British Columbia,Above bachelor,Yes,Has a partner,English only,No,Liberal Party,1
33,Male,"$50,000 to $74,999",British Columbia,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
33,Female,"Less than $25,000",Ontario,College or certificate,Yes,Single,English only,No,ndp,0
29,Female,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
70,Male,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,English only,No,ndp,0
39,Female,"$25,000 to $49,999",British Columbia,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
30,Female,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
48,Female,"$75,000 to $99,999",Quebec,High school diploma,Yes,Single,French only,Yes,Don't know/ Prefer not to answer,0
54,Female,"$125,000 and more",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Liberal Party,1
50,Male,"$125,000 and more",British Columbia,Bachelor's degree,Yes,Has a partner,English only,Yes,Conservative Party,0
70,Female,"$25,000 to $49,999",British Columbia,Bachelor's degree,Yes,Single,Neither English nor French,No,Green Party,0
58,Male,"$125,000 and more",Manitoba,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
58,Female,"$125,000 and more",Alberta,College or certificate,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
38,Male,"$75,000 to $99,999",Ontario,Above bachelor,Yes,Single,English only,Yes,Green Party,0
75,Male,"$125,000 and more",British Columbia,Above bachelor,Yes,Has a partner,English only,No,Conservative Party,0
30,Male,"$50,000 to $74,999",Quebec,Bachelor's degree,Yes,Has a partner,Both English and French,Yes,Conservative Party,0
18,Female,"$125,000 and more",Quebec,College or certificate,Yes,Single,Both English and French,Yes,ndp,0
24,Female,"$25,000 to $49,999",Ontario,Bachelor's degree,Yes,Single,Both English and French,Yes,Green Party,0
33,Female,"$50,000 to $74,999",Alberta,College or certificate,Yes,Single,English only,No,Liberal Party,1
37,Female,"$25,000 to $49,999",British Columbia,College or certificate,Yes,Has a partner,English only,No,Green Party,0
26,Female,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
66,Male,"$100,000 to $ 124,999",British Columbia,College or certificate,Yes,Has a partner,English only,No,Liberal Party,1
56,Male,"$125,000 and more",British Columbia,Above bachelor,Yes,Has a partner,English only,Yes,Conservative Party,0
33,Male,"$125,000 and more",Ontario,Bachelor's degree,Yes,Single,Neither English nor French,Yes,Conservative Party,0
41,Female,"$125,000 and more",British Columbia,College or certificate,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
47,Male,"$100,000 to $ 124,999",Manitoba,Above bachelor,Yes,Has a partner,English only,Yes,ndp,0
28,Male,"$75,000 to $99,999",Alberta,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
33,Male,"$100,000 to $ 124,999",Ontario,Above bachelor,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
65,Male,"$125,000 and more",British Columbia,College or certificate,Yes,Has a partner,English only,No,Liberal Party,1
36,Male,"$50,000 to $74,999",Saskatchewan,Less than high school,Yes,Has a partner,English only,Yes,Conservative Party,0
23,Female,"Less than $25,000",Ontario,High school diploma,Yes,Single,English only,Yes,ndp,0
49,Male,"$125,000 and more",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Don't know/ Prefer not to answer,0
68,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
60,Female,"$75,000 to $99,999",British Columbia,College or certificate,Yes,Has a partner,English only,No,Don't know/ Prefer not to answer,0
